"filename", "language", "CMake Cache", "CMake", "JSON", "C++", "Makefile", "TypeScript", "comment", "blank", "total"
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\CMakeFiles\SmoothRuntime.dir\DependInfo.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 6
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\CMakeFiles\SmoothRuntime.dir\cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 10
"g:\Project\VsCode_project\Smooth\build\engine\source\runtime\Makefile", "Makefile", 0, 0, 0, 0, 125, 0, 23, 38, 186
"g:\Project\VsCode_project\Smooth\engine\source\editor\include\editor_input_manager.h", "C++", 0, 0, 0, 5, 0, 0, 0, 3, 8
"g:\Project\VsCode_project\Smooth\engine\source\editor\source\editor_input_manager.cpp", "C++", 0, 0, 0, 1, 0, 0, 0, -1, 0
"g:\Project\VsCode_project\Smooth\engine\source\runtime\core\math.h", "C++", 0, 0, 0, 5, 0, 0, 0, 1, 6
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\default_camera.cpp", "C++", 0, 0, 0, 32, 0, 0, 0, 5, 37
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\default_camera.h", "C++", 0, 0, 0, 33, 0, 0, 1, 9, 43
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\mesh.cpp", "C++", 0, 0, 0, 58, 0, 0, 14, 11, 83
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\mesh.h", "C++", 0, 0, 0, 38, 0, 0, 0, 10, 48
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\model.cpp", "C++", 0, 0, 0, 136, 0, 0, 7, 34, 177
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\model.h", "C++", 0, 0, 0, 22, 0, 0, 0, 7, 29
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\render_camera.cpp", "C++", 0, 0, 0, 28, 0, 0, 0, 9, 37
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\render_camera.h", "C++", 0, 0, 0, 36, 0, 0, 0, 10, 46
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\shader.cpp", "C++", 0, 0, 0, 146, 0, 0, 23, 4, 173
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\shader.h", "C++", 0, 0, 0, 31, 0, 0, 16, 4, 51
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\texture.cpp", "C++", 0, 0, 0, 33, 0, 0, 0, 6, 39
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\texture.h", "C++", 0, 0, 0, 13, 0, 0, 0, 1, 14
"g:\Project\VsCode_project\Smooth\engine\source\runtime\tool\render\window_system.h", "C++", 0, 0, 0, -4, 0, 0, 0, 1, -3
"Total", "-", 21, 601, 3680, 613, 718, 8, 307, 527, 6475
